intent,relation,object,distance,qid,code
factors,for,population,2,379,o
characteristics,of,population distribution,0,380,o
characteristics,of,distribution,1,380,o
characteristics,of,population,2,380,o
pattern,of,various industries,0,382,o
pattern,of,industries,1,382,o
pattern,of,various,2,382,o
relationships,of,establishments,0,383,o
relationships,of,establishments,1,383,o
changes,in,spatial characteristics,0,386,o
changes,in,characteristics,1,386,o
changes,in,spatial,2,386,o
trends,of,students,0,387,o
trends,of,students,1,387,o
distribution,in,Leeds,0,388,o
distribution,in,Leeds,1,388,o
changes,in,the built-up area,0,389,o
changes,in,area,1,389,o
changes,in,built-up,2,389,o
variations,of,hotspots,0,392,o
variations,of,hotspots,1,392,o
impacts,of,different social-economic factors,0,393,o
impacts,of,factors,1,393,o
impacts,of,social-economic,2,393,o
impacts,of,different,3,393,o
pattern,of,rural-urban land use,0,394,o
pattern,of,use,1,394,o
pattern,of,land,2,394,o
pattern,of,rural-urban,3,394,o
patterns,in,the cultural industries,0,395,o
patterns,in,industries,1,395,o
patterns,in,cultural,2,395,o
potential,in,the area Islamabad Zone IV,0,397,o
potential,in,IV,1,397,o
potential,in,Zone,2,397,o
potential,in,Islamabad,3,397,o
potential,in,area,4,397,o
interactions,between,population growth and changes,0,399,o
interactions,between,changes,1,399,o
interactions,between,growth,3,399,o
interactions,between,population,4,399,o
changes,in,Original-stream Zone,0,400,o
changes,in,Zone,1,400,o
changes,in,Original-stream,2,400,o
distribution,of,cervix cancer mortality rates,0,403,o
distribution,of,rates,1,403,o
distribution,of,mortality,2,403,o
distribution,of,cancer,3,403,o
distribution,of,cervix,4,403,o
map,of,all districts,0,404,o
map,of,districts,1,404,o
map,of,all,2,404,o
effects,of,"the built environment (e.g. physical environment, land use patterns, the road network, and bicycle-specific facilities)",0,407,o
effects,of,facilities),1,407,o
effects,of,bicycle-specific,2,407,o
effects,of,"network,",4,407,o
effects,of,road,5,407,o
effects,of,"patterns,",7,407,o
effects,of,use,8,407,o
effects,of,land,9,407,o
effects,of,"environment,",10,407,o
effects,of,physical,11,407,o
effects,of,(e.g.,12,407,o
effects,of,environment,13,407,o
effects,of,built,14,407,o
association,between,urban neighborhood socioeconomic markers and ambient air pollution,0,408,o
association,between,pollution,1,408,o
association,between,air,2,408,o
association,between,ambient,3,408,o
association,between,markers,5,408,o
association,between,socioeconomic,6,408,o
association,between,neighborhood,7,408,o
association,between,urban,8,408,o
impact,of,racial residential segregation,0,410,o
impact,of,segregation,1,410,o
impact,of,residential,2,410,o
impact,of,racial,3,410,o
impact,of,racial residential segregation,0,411,o
impact,of,segregation,1,411,o
impact,of,residential,2,411,o
impact,of,racial,3,411,o
exposure,for,maternal,0,412,o
exposure,for,maternal,1,412,o
types,within,1km,0,417,o
types,within,1km,1,417,o
accessibility,of,residential units,0,421,o
accessibility,of,units,1,421,o
accessibility,of,residential,2,421,o
aspect,of,the new ski piste,0,430,o
aspect,of,piste,1,430,o
aspect,of,ski,2,430,o
aspect,of,new,3,430,o
trends,in,animal grazing based,0,431,o
trends,in,based,1,431,o
trends,in,grazing,2,431,o
trends,in,animal,3,431,o
rates,in,each police district,0,432,o
rates,in,district,1,432,o
rates,in,police,2,432,o
rates,in,each,3,432,o
density,of,crape myrtles,0,433,o
density,of,myrtles,1,433,o
density,of,crape,2,433,o
impact,of,high population density,0,434,o
impact,of,density,1,434,o
impact,of,population,2,434,o
impact,of,high,3,434,o
dynamics,of,carbon sinks,0,435,o
dynamics,of,sinks,1,435,o
dynamics,of,carbon,2,435,o
accessibility,for,seniors,0,436,o
accessibility,for,seniors,1,436,o
access,to,private hospitals,0,437,o
access,to,hospitals,1,437,o
access,to,private,2,437,o
access,to,public hospitals,0,438,o
access,to,hospitals,1,438,o
access,to,public,2,438,o
access,to,public hospitals,0,439,o
access,to,hospitals,1,439,o
access,to,public,2,439,o
accessibility,to,public trams,0,440,o
accessibility,to,trams,1,440,o
accessibility,to,public,2,440,o
accessibility,to,public trains,0,441,o
accessibility,to,trains,1,441,o
accessibility,to,public,2,441,o
impact,of,population density,0,442,o
impact,of,density,1,442,o
impact,of,population,2,442,o
changes,in,the climate,0,443,o
changes,in,climate,1,443,o
changes,in,the land use,0,444,o
changes,in,use,1,444,o
changes,in,land,2,444,o
changes,in,the land cover types,0,445,o
changes,in,types,1,445,o
changes,in,cover,2,445,o
changes,in,land,3,445,o
calculated,with,the Minkowski metric,0,446,o
calculated,with,metric,1,446,o
calculated,with,Minkowski,2,446,o
effect,of,household characteristics,0,447,o
effect,of,characteristics,1,447,o
effect,of,household,2,447,o
effect,of,neighborhood characteristics,0,448,o
effect,of,characteristics,1,448,o
effect,of,neighborhood,2,448,o
effect,of,neighborhood characteristics,0,449,o
effect,of,characteristics,1,449,o
effect,of,neighborhood,2,449,o
changes,in,water resources,0,450,o
changes,in,resources,1,450,o
changes,in,water,2,450,o
interactions,between,population growth and changes,0,451,o
interactions,between,changes,1,451,o
interactions,between,growth,3,451,o
interactions,between,population,4,451,o
patterns,in,the cultural industries,0,452,o
patterns,in,industries,1,452,o
patterns,in,cultural,2,452,o
areas,with,high concentration,0,453,o
areas,with,concentration,1,453,o
areas,with,high,2,453,o
distribution,of,health service units,0,454,o
distribution,of,units,1,454,o
distribution,of,service,2,454,o
distribution,of,health,3,454,o
distribution,of,towns,0,455,o
distribution,of,towns,1,455,o
distribution,of,residences,0,456,o
distribution,of,residences,1,456,o
distribution,of,health service units,0,457,o
distribution,of,units,1,457,o
distribution,of,service,2,457,o
distribution,of,health,3,457,o
distribution,of,towns,0,458,o
distribution,of,towns,1,458,o
portion,of,owner-occupied houses,0,459,o
portion,of,houses,1,459,o
portion,of,owner-occupied,2,459,o
portion,of,vacant houses,0,460,o
portion,of,houses,1,460,o
portion,of,vacant,2,460,o
accessibility,for,seniors,0,461,o
accessibility,for,seniors,1,461,o
association,between,urban neighborhood socioeconomic markers and ambient air pollution,0,462,o
association,between,pollution,1,462,o
association,between,air,2,462,o
association,between,ambient,3,462,o
association,between,markers,5,462,o
association,between,socioeconomic,6,462,o
association,between,neighborhood,7,462,o
association,between,urban,8,462,o
effect,of,the distribution,0,463,o
effect,of,distribution,1,463,o
effect,of,the distribution,0,464,o
effect,of,distribution,1,464,o
accessibility,to,family physician services,0,465,o
accessibility,to,services,1,465,o
accessibility,to,physician,2,465,o
accessibility,to,family,3,465,o
zones,of,strict drug enforcement,0,466,o
zones,of,enforcement,1,466,o
zones,of,drug,2,466,o
zones,of,strict,3,466,o
zones,of,strict drug enforcement,0,467,o
zones,of,enforcement,1,467,o
zones,of,drug,2,467,o
zones,of,strict,3,467,o
consequences,of,forestry,0,468,o
consequences,of,forestry,1,468,o
